SaleID,SaleDate,CustomerID,ProductID,StoreID,Quantity,UnitPrice
1235,2026-09-12,C084,P097,S022,5,
1202,2026-09-12,C107,P107,S003,6,84573
1190,2026-09-12,C013,P049,S077,10,-100
  1181  ,2026-09-12,C107,P118,S080,4,70690
  1222  ,2026-09-12,C118,P046,S104,8,52573
1214,Sept 10 2026,C047,P056,S006,8,23088
1180,2026-09-12,C128,P115,S023,4,-100
1182,2026-09-12,C032,P076,S038,5,74402
1217,10th Sep 2026,C010,P083,S016,7,78680
1233,2026-09-12,C082,P096,S005,4,-100
1236,2026-09-12,C013,P093,S058,9,68447
1201,2026-09-12,C014,P080,S888,10,46916
1234,2026-09-12,C104,P900,S082,5,89187
1221,2026-09-12,C126,P120,S031,0,81177
1226,10th Sep 2026,C081,P021,S007,9,49627
1195,2026-09-12,C053,P003,S105,6,53707
1184,2026-09-12,C113,P064,S024,4,-1500
1196,2026-09-12,C096,P048,S080,5,10315
1209,2026-09-12,CXYZ,P042,S067,3,8894
1176,2026-09-12,C021,P051,S051,3,32515
1208,2026-09-12,C888,P130,S022,3,45705
1212,2026-09-12,C100,P023,S092,10,21107
1226,10th Sep 2026,C081,P021,S007,5,30547
1231,2026-09-12,C117,P037,S033,9,63028
1199,2026-09-12,C040,P024,S084,3,52236
1175,2026-09-12,C061,P084,S041,8,47529
1191,2026-09-12,C020,P096,S066,3,58966
1204,2026-09-12,C002,P112,  S021 ,7,14981
1219,2026-09-12,C064,P109,S050,6,58661
1198,10-09-2026,C124,P017,S053,7,57332
1198,10-09-2026,C124,P017,S053,2,51912
1192,2026-09-12,C067,P002,S014,10,81357
1187,2026-09-12,C060,P026,S084,8,4952
1200,2026-09-12,C070,P105,S037,5,54867
1174,2026-09-12,,P047,S002,5,19933
1238,2026-09-12,C068,,S048,10,19262
1237,2026-09-12,C027,P065,S901,7,48788
1216,2026-09-12,CXYZ,P050,S006,9,88213
1203,2026-09-12,C051,P901,S094,7,26795
,2026-09-12,C093,P085,S098,2,58070
1213,2026-09-12,C057,P104,S079,4,62091
1218,2026-09-12,C117,P079,,7,40497
1225,2026-09-12,C011,P011,S082,3,10879
1211,2026-09-12,C888,P012,S062,6,7095
1194,2026-09-12,C037,P900,S027,5,5111
1197,2026-09-12,C053,P009,S102,-1,71933
1223,2026-09-12,C028,  P018 ,S017,6,56539
1193,2026-09-12,C090,P056,S005,6,44666
1224,2026-09-12,C094,P024,S103,0,66205
,2026-09-12,C035,P007,S110,2,80594
1185,2026-09-12,C040,P901,S075,4,42873
1220,2026-09-12,C129,P113,S023,1,559
1217,10th Sep 2026,C010,P083,S016,4,13899
1189,2026-09-12,C096,P011,S038,4,15725
1183,2026-9-10,C069,P096,S033,5,26208
1173,2026-09-12,C065,P111,S105,8,17494
1205,2026-09-12,C024,P104,S074,6,60511
1229,2026-09-12,C043,P900,S009,6,80112
1178,2026-09-12,C084,P042,SXYZ,2,9558
1186,2026-09-12,C017,P102,S033,0,66596
,2026-09-12,C065,P041,S042,10,36143
1232,2026-09-12,C054,P068,S079,9,
1214,Sept 10 2026,C047,P056,S006,7,67981
1210,2026-09-12,C028,P099,S063,4,39633
1183,2026-9-10,C069,P096,S033,8,10648
1228,2026-09-12,C029,P050,S017,8,37833
1207,2026-09-12,C037,P102,S012,10,-1500
1179,2026-09-12,C068,P022,S027,2,55289
1206,2026-09-12,C042,P034,S002,1,72392
1215,2026-09-12,C041,P099,S046,2,19690
1188,2026-09-12,C027,P002,S900,4,58859
1177,2026-09-12,C105,P017,S901,1,63236
