SaleID,SaleDate,CustomerID,ProductID,StoreID,Quantity,UnitPrice
1095,2026-09-11,C001,P086,S901,2,62312
1122,2026-09-11,C029,P094,S030,8,63819
1136,2026-09-11,C033,P044,S061,7,45144
1131,2026-09-11,C039,P064,S035,7,67072
  1123  ,2026-09-11,C101,P007,S021,1,64547
1141,2026-09-11,C057,P116,S043,8,
1119,2026-09-11,C069,P100,S027,4,9879
1102,2026-09-11,C038,P012,S106,9,82325
1147,2026-09-11,C033,P129,S068,-10,12237
1148,2026-09-11,C070,P064,S050,6,25093
1104,2026-09-10,C005,P059,S011,2,21809
1132,2026-09-11,  C081 ,P049,S099,6,56165
1138,2026-09-11,C900,P078,S062,9,87770
1126,2026-09-11,C001,P084,S097,6,52300
1149,2026-09-11,,P111,S040,1,16778
1104,2026-09-10,C005,P059,S011,1,5586
1127,2026-09-11,C031,P051,S092,1,38088
1124,2026-09-11,C900,P104,S039,3,54649
1137,2026-09-11,,P077,S033,5,53342
,2026-09-11,C130,P002,S012,5,11864
1096,2026-09-11,C072,P129,S084,4,0
1139,2026-09-11,C101,P031,S022,3,9952
1152,2026-09-11,C120,P115,S032,2,29433
1148,2026-09-11,C070,P064,S050,7,84745
1094,2026-09-11,C009,P080,S028,6,24080
,2026-09-11,C026,P056,S087,8,38223
1118,2026-09-11,C075,P118,S901,9,59010
1117,2026-09-11,C052,P999,S011,8,2394
1100,2026-09-11,C040,P100,S098,6,64874
,2026-09-11,C054,P129,S104,8,72240
1139,2026-09-11,C101,P031,S022,6,14938
1088,2026-09-11,C089,P014,S108,3,1968
1111,2026-09-11,C098,P020,S062,0,6227
1101,2026-09-11,C039,P073,S093,-1,84408
1150,2026-09-11,C009,P109,S888,8,77062
1087,2026-09-11,C088,P901,S107,3,53144
1130,2026-09-11,C072,P888,S007,5,83325
1151,2026-09-11,C126,P001,S010,7,69287
1106,2026-09-11,C013,P005,S081,9,-1500
1129,2026-09-11,C020,P093,S055,-1,6426
1114,2026-09-11,C004,P901,S008,8,35328
1120,2026-09-11,C024,P037,S096,9,-1500
1109,2026-09-11,C999,P122,S033,2,34907
  1098  ,2026-09-11,C037,P103,S076,1,51739
1116,2026-09-11,C074,P119,S060,8,15632
1089,2026-09-11,C019,P901,S056,3,7361
1144,2026-09-11,C067,P052,S003,7,50279
1113,2026-09-11,C066,P078,S080,10,17590
1105,2026-09-11,C035,P093,S014,7,59264
1135,2026-09-11,C036,P074,S063,1,72203
1143,2026-09-11,C088,P024,S041,4,48374
1110,2026-09-11,C061,P053,  S030 ,8,64842
1099,2026-09-11,C006,P077,S039,4,11173
1116,2026-09-11,C074,P119,S060,3,85620
1121,2026-09-11,C093,P034,S078,9,36743
1093,2026-09-11,C094,P085,S071,6,32140
1112,2026-09-11,C051,P020,S077,3,-1500
1108,2026-09-11,C018,P129,S999,2,86515
1146,2026-09-11,C016,P128,S036,10,-100
1103,2026-09-11,C110,P130,S999,9,66208
1091,2026-09-11,C063,P076,S006,8,24394
1086,2026-09-11,C130,P079,S089,4,30189
1092,2026-09-11,C041,P069,S058,1,34603
1107,2026-09-10,C063,P126,S034,1,59993
1142,2026-09-11,C036,P050,S032,2,22997
1128,2026-09-11,CXYZ,P096,S009,7,51239
1133,2026-09-11,C008,,S071,9,26764
1134,2026-09-11,C021,P013,S094,7,59195
1125,2026-09-11,C089,,S041,2,43527
1090,2026-09-11,C022,P098,S065,5,78583
1145,2026-09-11,C106,P054,S049,5,44428
1107,2026-09-10,C063,P126,S034,7,59035
